Brewery1, Beer Name, Brewed in (location), ABV (alcohol volume), Style, Score, Ratings, Availability, Added On
1188 Brewing Company,1188 Disruptor,Oregon,6.50%,Doppelbock,3.35,Okay,Rotating,07-21-2014
1188 Brewing Company,Big Al's Amber,Oregon,not listed,American Amber / Red Ale,3.77,Very Good,Rotating,04-02-2015
1188 Brewing Company,Black Oak Instigator,Oregon,8.00%,American Porter,0,,Rotating,10-15-2014
1188 Brewing Company,Box Canyon Pale,Oregon,5.00%,American Pale Ale (APA),0,,Rotating,10-15-2014
1188 Brewing Company,Mazelnut Brown Ale,Oregon,not listed,American Brown Ale,4.75,World-Class,Fall,10-07-2014
1188 Brewing Company,Wild Horse IPA,Oregon,not listed,American IPA,3.71,Good,Year-round,04-02-2015
12 Acres Brewing Company,12 Acres Pale Ale,Ireland,4.60%,American Pale Ale (APA),3.88,Very Good,Year-round,12-31-2014
12 Acres Brewing Company,Golden Harvest Pale Ale,Ireland,4.20%,American Pale Ale (APA),3.51,Good,Year-round,10-08-2016
12 Gates Brewing Company,12 Gates / Community Beer Works Resting Peach Face,New York,3.60%,Berliner Weissbier,4,Exceptional,Limited (brewed once),09-26-2017
12 Gates Brewing Company,12 Gates White,New York,5.30%,Witbier,4,Exceptional,Rotating,01-08-2016
12 Gates Brewing Company,Ales for ALS Double IPA,New York,9.60%,American Double / Imperial IPA,3.47,Okay,Rotating,01-12-2017
12 Gates Brewing Company,Apricot Wheat,New York,4.80%,American Pale Wheat Ale,3.46,Okay,Spring,04-06-2017
12 Gates Brewing Company,Bleeding Heart Red Rye,New York,6.50%,Rye Beer,3.94,Very Good,Rotating,03-04-2016
12 Gates Brewing Company,Buffalo Tripel,New York,9.60%,Tripel,3.94,Very Good,Rotating,01-12-2017
12 Gates Brewing Company,Cherry Vanilla Wheat,New York,4.80%,American Pale Wheat Ale,3.27,Okay,Rotating,04-06-2017
12 Gates Brewing Company,Coffee Porter,New York,5.80%,American Porter,3.77,Very Good,Rotating,01-08-2016
12 Gates Brewing Company,Doublegate,New York,8.50%,American Double / Imperial IPA,2.85,Poor,Rotating,04-03-2016
12 Gates Brewing Company,Dunkelweizen,New York,4.80%,Dunkelweizen,3.99,Very Good,Fall,11-20-2016
12 Gates Brewing Company,Elderberry Wheat,New York,4.80%,American Pale Wheat Ale,0,,Rotating,04-06-2017
12 Gates Brewing Company,Grave Concerns,New York,8.40%,American Double / Imperial Stout,3.67,Good,Rotating,01-12-2017
12 Gates Brewing Company,Grave Concerns: With Vanilla And Coffee Beans,New York,8.40%,American Double / Imperial Stout,3.8,Very Good,Limited (brewed once),01-12-2017
12 Gates Brewing Company,Oak Aged Under The Southern Cross IPA,New York,7.00%,American IPA,0,,Rotating,04-06-2017
12 Gates Brewing Company,Pale Ale,New York,5.90%,American Pale Ale (APA),3.75,Very Good,Rotating,08-22-2016
12 Gates Brewing Company,Session IPA,New York,4.80%,American IPA,3.77,Very Good,Rotating,01-08-2016
12 Gates Brewing Company,Summer Saison,New York,5.40%,Saison / Farmhouse Ale,3.96,Very Good,Summer,06-05-2017
12 Gates Brewing Company,Under The Southern Cross IPA,New York,6.50%,American IPA,4.02,Exceptional,Rotating,01-08-2016
12 Gates Brewing Company,Water Mill Pils,New York,5.70%,German Pilsener,3.81,Very Good,Rotating,08-22-2016
12 Gates Brewing Company,West Coast IPA,New York,6.90%,American IPA,3.47,Okay,Rotating,01-08-2016
12 Gates Brewing Company,Wind Forge IPA,New York,6.20%,American IPA,0,,Rotating,04-06-2017
12 Gates Brewing Company,Yoga Pants American Blonde Ale,New York,4.50%,American Blonde Ale,3.39,Okay,Year-round,04-06-2017
12 String Brewing Company,12 Strings Of Winter,Washington,6.30%,Winter Warmer,3.78,Very Good,Winter,11-15-2013
12 String Brewing Company,Archtop Amber,Washington,5.50%,American Amber / Red Ale,3.25,Okay,Rotating,11-15-2013
12 String Brewing Company,Arpeggio Pale Ale,Washington,4.70%,American Pale Ale (APA),3.65,Good,Rotating,01-18-2014
12 String Brewing Company,Batch 201 IPA,Washington,8.10%,American IPA,3.98,Very Good,Year-round,03-22-2015
12 String Brewing Company,Bourbon Barrel Double Chocolate Double Stout,Washington,9.50%,American Double / Imperial Stout,4.74,World-Class,Limited (brewed once),09-24-2017
12 String Brewing Company,C#7#5 IPA,Washington,6.80%,American IPA,3.82,Very Good,Rotating,11-15-2013
12 String Brewing Company,Cognac BA Grapefruit Sour,Washington,5.50%,American Wild Ale,0,,Limited (brewed once),01-03-2017
12 String Brewing Company,Crescendo,Washington,5.80%,Dunkelweizen,3.53,Good,Fall,10-06-2015
12 String Brewing Company,Don't Fret Porter,Washington,not listed,American Porter,3.76,Very Good,Year-round,12-18-2011
12 String Brewing Company,Double Drop D,Washington,9.00%,American Double / Imperial Stout,4.24,Exceptional,Year-round,03-22-2015
12 String Brewing Company,Drop D Stout,Washington,6.00%,American Stout,3.73,Good,Rotating,11-15-2013
12 String Brewing Company,Electric Slide IPA,Washington,7.00%,American IPA,3.96,Very Good,Rotating,11-15-2013
12 String Brewing Company,Finger Pickin' Pale Ale,Washington,4.30%,American Pale Ale (APA),3.75,Very Good,Rotating,11-15-2013
12 String Brewing Company,Fresh Hop Simcoe IPA,Washington,6.00%,American IPA,3.71,Good,Fall,10-03-2016
12 String Brewing Company,G String Blonde,Washington,5.40%,American Blonde Ale,3.12,Okay,Rotating,11-15-2013
12 String Brewing Company,Gin BA Blackberry Golden Strong Ale,Washington,7.90%,American Strong Ale,0,,Limited (brewed once),01-03-2017
12 String Brewing Company,Harmonic Hefeweizen,Washington,5.10%,Hefeweizen,0,,Summer,08-07-2015
12 String Brewing Company,Harvest Ale,Washington,not listed,American Brown Ale,3.49,Okay,Fall,11-07-2011
12 String Brewing Company,Jam Session IPA,Washington,7.00%,American IPA,3.97,Very Good,Rotating,11-15-2013
12 String Brewing Company,Mango Mambo,Washington,4.30%,Hefeweizen,3.76,Very Good,Rotating,01-01-2015
12 String Brewing Company,Palouse Hoppin' ISA,Washington,4.60%,American IPA,0,,Rotating,01-01-2015
12 String Brewing Company,Red Guitar Red Ale,Washington,5.20%,American Amber / Red Ale,3.91,Very Good,Limited (brewed once),03-12-2017
12 String Brewing Company,Rhythmic Rye,Washington,not listed,American IPA,3.81,Very Good,Rotating,08-30-2013
12 String Brewing Company,Spring Reverb,Washington,5.50%,American Pale Ale (APA),3.83,Very Good,Spring,03-24-2013
12 String Brewing Company,Valley Red,Washington,5.10%,American Amber / Red Ale,4.17,Exceptional,Year-round,10-06-2015
12 West Brewing Co.,# It's Okay,Arizona,5.80%,Berliner Weissbier,3.75,Very Good,Limited (brewed once),01-07-2017
12 West Brewing Co.,Fox On A Shelf,Arizona,6.00%,American Amber / Red Ale,3.25,Okay,Year-round,01-07-2017
12 West Brewing Co.,Fresh Prince Of Bel-Ale,Arizona,5.20%,American Blonde Ale,3.5,Good,Year-round,01-07-2017
12 West Brewing Co.,Frontside IPA,Arizona,7.20%,American IPA,3.5,Good,Year-round,01-07-2017
12 West Brewing Co.,K-Lax,Arizona,7.20%,American IPA,4.26,Outstanding,Year-round,08-12-2017
12 West Brewing Co.,Midnight Run,Arizona,5.30%,American Stout,4,Exceptional,Year-round,01-07-2017
12 West Brewing Co.,Mijo,Arizona,10.40%,American Double / Imperial IPA,3.75,Very Good,Year-round,01-07-2017
12 West Brewing Co.,Suh Dude,Arizona,5.00%,American Brown Ale,3.5,Good,Year-round,01-07-2017
12 West Brewing Co.,Sunday Morning Saison,Arizona,6.80%,Saison / Farmhouse Ale,3.25,Okay,Year-round,01-07-2017
12 West Brewing Co.,Wheat Didn't Start The Fire,Arizona,7.80%,American Pale Wheat Ale,3,Okay,Year-round,01-07-2017
12 West Brewing Co.,Wild Card,Arizona,5.00%,American Pale Ale (APA),3,Okay,Year-round,01-07-2017
127 Brewing Company,482 Bitter,Michigan,7.20%,English Strong Ale,3.99,Very Good,Rotating,07-14-2017
127 Brewing Company,Big Gold,Michigan,5.80%,American Pale Ale (APA),3.5,Good,Rotating,06-03-2014
127 Brewing Company,Hex Porter,Michigan,6.00%,American Porter,3.65,Good,Rotating,07-14-2017
127 Brewing Company,Jazzberry,Michigan,7.70%,Fruit / Vegetable Beer,3.25,Okay,Rotating,06-03-2014
127 Brewing Company,Midnight Stout,Michigan,6.60%,American Stout,3.99,Very Good,Rotating,07-14-2017
127 Brewing Company,Out O' Town Brown,Michigan,7.90%,American Brown Ale,3.96,Very Good,Rotating,07-14-2017
127 Brewing Company,Polar Vortex Wheat,Michigan,7.10%,Hefeweizen,3.84,Very Good,Year-round,06-03-2014
127 Brewing Company,Pothole Porter,Michigan,5.80%,American Porter,3.75,Very Good,Rotating,06-03-2014
12Degree Brewing,48 Hours,Colorado,7.20%,American Blonde Ale,4.25,Outstanding,Rotating,01-18-2016
12Degree Brewing,Batch 10,Colorado,6.40%,Belgian Pale Ale,3.75,Very Good,Rotating,11-10-2013
12Degree Brewing,Brabant Tripel,Colorado,9.20%,Tripel,3.62,Good,Rotating,10-04-2013
12Degree Brewing,Cerberus,Colorado,8.00%,Belgian Strong Pale Ale,4.04,Exceptional,Rotating,07-23-2015
12Degree Brewing,Citra Self Down,Colorado,7.20%,Belgian Pale Ale,3.6,Good,Rotating,07-23-2015
12Degree Brewing,Crimson Fog,Colorado,11.00%,Quadrupel (Quad),0,,Rotating,12-07-2015
12Degree Brewing,Foxx Rougge,Colorado,8.50%,Belgian Strong Dark Ale,3.78,Very Good,Rotating,10-04-2013
12Degree Brewing,Hayride Saison,Colorado,6.50%,Saison / Farmhouse Ale,4.12,Exceptional,Fall,11-10-2013
12Degree Brewing,Inconceivable,Colorado,6.70%,American IPA,4.06,Exceptional,Fall,10-27-2016
12Degree Brewing,Levi’s Tripel,Colorado,9.20%,Tripel,0,,Rotating,12-07-2015
12Degree Brewing,Midnight Fog,Colorado,9.60%,Quadrupel (Quad),4.31,Outstanding,Rotating,09-28-2014
12Degree Brewing,Outlier,Colorado,6.50%,Belgian IPA,0,,Rotating,12-07-2015
12Degree Brewing,Pommy Mowgli,Colorado,7.30%,Saison / Farmhouse Ale,4.25,Outstanding,Rotating,07-23-2015
12Degree Brewing,Pommy White,Colorado,5.70%,Witbier,4.25,Outstanding,Rotating,09-28-2014
12Degree Brewing,Red Giant,Colorado,6.50%,Saison / Farmhouse Ale,4.25,Outstanding,Rotating,01-18-2016
12Degree Brewing,Sleigh Ride,Colorado,7.30%,Saison / Farmhouse Ale,4.25,Outstanding,Rotating,01-18-2016
12Degree Brewing,Soleil Saison,Colorado,6.50%,Saison / Farmhouse Ale,3.91,Very Good,Rotating,10-04-2013
12Degree Brewing,Sorach,Colorado,7.80%,Saison / Farmhouse Ale,0,,Rotating,10-04-2013
12Degree Brewing,Sorach L'Orange,Colorado,7.80%,Saison / Farmhouse Ale,4,Exceptional,Rotating,10-04-2013
12Degree Brewing,Treachery,Colorado,not listed,Belgian Strong Pale Ale,4.12,Exceptional,Rotating,05-30-2016
12Degree Brewing,Utepils Saison,Colorado,6.30%,Saison / Farmhouse Ale,0,,Rotating,12-07-2015
12Degree Brewing,Velour Fog,Colorado,11.00%,Quadrupel (Quad),4,Exceptional,Rotating,11-10-2013
12Degree Brewing,Walter's White,Colorado,5.70%,Witbier,3.75,Very Good,Rotating,10-04-2013
12Degree Brewing,WFBPA,Colorado,6.30%,Belgian Pale Ale,4.25,Outstanding,Rotating,07-03-2014
12th Abbey Brewing Company,12th Abbey IPA,Ireland,4.80%,American IPA,4.03,Exceptional,Year-round,01-11-2015
12th Abbey Brewing Company,Altered Amber,Ireland,not listed,American Amber / Red Ale,0,,Year-round,03-25-2015
12th Abbey Brewing Company,Raven Stout,Ireland,not listed,Irish Dry Stout,0,,Year-round,03-25-2015
12welve Eyes Brewing,2wice IIPA,Minnesota,8.10%,American Double / Imperial IPA,0,,Rotating,11-07-2017
12welve Eyes Brewing,Belgian Pale Ale,Minnesota,5.00%,Belgian Pale Ale,3.33,Okay,Rotating,07-25-2017
12welve Eyes Brewing,Black IPA,Minnesota,4.60%,American IPA,3.75,Very Good,Rotating,08-29-2017
12welve Eyes Brewing,Blackberry St Paul Ale,Minnesota,5.00%,American Pale Ale (APA),0,,Limited (brewed once),09-09-2017
12welve Eyes Brewing,Cataracts,Minnesota,6.00%,American IPA,0,,Rotating,12-31-2017
12welve Eyes Brewing,CITRA SMaSH IPA,Minnesota,5.00%,American IPA,3.9,Very Good,Rotating,08-04-2017
12welve Eyes Brewing,Coconut Milk Stout,Minnesota,5.40%,Milk / Sweet Stout,0,,Rotating,12-31-2017
12welve Eyes Brewing,Cranberry Berliner Weisse,Minnesota,4.30%,Berliner Weissbier,0,,Limited (brewed once),09-25-2017
12welve Eyes Brewing,Cream Ale,Minnesota,5.30%,Cream Ale,4,Exceptional,Rotating,06-20-2017
12welve Eyes Brewing,Cwambewwy,Minnesota,4.30%,Berliner Weissbier,0,,Rotating,10-06-2017
12welve Eyes Brewing,Dry-Hopped Citra Sour,Minnesota,5.00%,American Wild Ale,0,,Limited (brewed once),11-12-2017
12welve Eyes Brewing,Dry-Hopped Hefeweizen,Minnesota,5.00%,Hefeweizen,3.81,Very Good,Rotating,07-27-2017
12welve Eyes Brewing,Ethel Beavers,Minnesota,5.30%,American Amber / Red Ale,3.63,Good,Rotating,08-26-2017
12welve Eyes Brewing,Grapefruit Saint Paul Ale,Minnesota,5.00%,American Pale Ale (APA),0,,Limited (brewed once),11-12-2017
12welve Eyes Brewing,He Likes It Cold,Minnesota,6.80%,Smoked Beer,0,,Limited (brewed once),11-12-2017
12welve Eyes Brewing,Hull Melon SMaSH IPA,Minnesota,5.60%,American IPA,0,,Limited (brewed once),09-21-2017
12welve Eyes Brewing,Kiwi Berliner Weisse,Minnesota,4.50%,Berliner Weissbier,4,Exceptional,Limited (brewed once),09-09-2017
12welve Eyes Brewing,Legacy Chocolate Stout,Minnesota,7.10%,American Stout,4.02,Exceptional,Rotating,07-25-2017
12welve Eyes Brewing,Lemon Hefeweizen,Minnesota,4.60%,Hefeweizen,3.16,Okay,Rotating,08-29-2017
12welve Eyes Brewing,LIL bUZI VERT,Minnesota,not listed,English Barleywine,0,,Fall,09-25-2017
12welve Eyes Brewing,Lowertown IPA,Minnesota,5.50%,American IPA,3.75,Very Good,Rotating,07-27-2017
12welve Eyes Brewing,Mango Milkshake IPA,Minnesota,5.10%,American IPA,0,,Limited (brewed once),12-31-2017
12welve Eyes Brewing,Mighty Axe Single Hop - Zeus,Minnesota,6.00%,American IPA,0,,Limited (brewed once),12-31-2017
12welve Eyes Brewing,Milk Stout,Minnesota,5.50%,Milk / Sweet Stout,3.87,Very Good,Rotating,08-29-2017
12welve Eyes Brewing,Mosaic Wheat IPA,Minnesota,6.10%,American IPA,3.97,Very Good,Rotating,07-25-2017
12welve Eyes Brewing,Oktoberfest,Minnesota,5.50%,Märzen / Oktoberfest,0,,Fall,09-25-2017
12welve Eyes Brewing,Peach Cobbler Cream Ale,Minnesota,5.50%,Cream Ale,4.14,Exceptional,Limited (brewed once),11-12-2017
